Accuracy,Precision,Recall,F1-Score,AUC,Params,CNN
0.7600116924875767,0.8035690042162666,0.7600116924875767,0.7811836513617919,0.9632354771273555,[128-64],479816
0.8477053493130664,0.8644093861473442,0.8477053493130664,0.8559758822897784,0.9821864912707272,[128-64],479816
0.19467991815258695,0.037900270531897956,0.19467991815258695,0.06344840983098747,0.6232931056082182,"[32-512, 256-32]",1625032
0.19467991815258695,0.037900270531897956,0.19467991815258695,0.06344840983098747,0.6232931056082182,"[32-512, 256-32]",1625032
0.8187664425606548,0.8303789216795198,0.8187664425606548,0.8245317974066441,0.9805344580555567,[64-512],3512840
0.8123355743934522,0.8308002531469991,0.8123355743934522,0.8214641656942123,0.9797502186421203,[64-512],3512840
0.7375036539023677,0.8371555460208662,0.7375036539023677,0.784176378107872,0.963729436755413,"[64-512, 256-512, 32-64, max, 128-32]",3290216
0.884536685179772,0.8897485581700034,0.884536685179772,0.8871349668684895,0.9918768838722294,"[64-512, 256-512, 32-64, max, 128-32]",3290216
0.7983045893013738,0.8016351857764348,0.7983045893013738,0.7999664208856426,0.9738644925062088,[128-128],955528
0.8073662671733411,0.8063590806608838,0.8073662671733411,0.806862359605674,0.97664422921089,[128-128],955528
0.8196433791289097,0.8423187031969954,0.8196433791289097,0.8308263534215592,0.982425234660577,"[32-256, mean, 512-128, mean, mean]",1891848
0.8330897398421514,0.8386049003290492,0.8330897398421514,0.8358382224326961,0.9824590531313994,[64-128],879752
0.8114586378251973,0.8331959570683545,0.8114586378251973,0.822183646904788,0.9813782963442106,"[32-256, mean, 512-128, mean, mean]",1891848
0.6866413329435838,0.741572926755283,0.6866413329435838,0.7130507477351246,0.9435108982692426,[mean],4712
0.8339666764104063,0.8328400003804344,0.8339666764104063,0.833402957607746,0.9821199102026523,[64-128],879752
0.6866413329435838,0.741572926755283,0.6866413329435838,0.7130507477351246,0.9435108982692426,[mean],4712
0.8985676702718504,0.9008914464515881,0.8985676702718504,0.8997280579287048,0.993716600140325,"[128-64, 64-128, mean, 64-512]",1438664
0.8439052908506285,0.8595509715127023,0.8439052908506285,0.8516562809883884,0.9857475439007513,"[256-128, mean]",504968
