Accuracy,Precision,Recall,F1-Score,AUC,Params,CNN
0.7192019950124688,0.6784186080492439,0.7192019950124688,0.6982152599836194,0.9443691270576675,[128-64],429639
0.6688279301745635,0.4473308001815909,0.6688279301745635,0.5361017659080034,0.8739312566464137,"[32-512, 256-32]",1599943
0.6678304239401496,0.5538631018792188,0.6678304239401496,0.6055309655254635,0.9232281515662216,[64-512],3111431
