Accuracy,Precision,Recall,F1-Score,AUC,Params,CNN
0.5933147632311978,0.6766339001511338,0.5933147632311978,0.6322411194057992,0.9075488992753005,[128-64],529993
0.1937325905292479,0.14555125292908147,0.1937325905292479,0.16622083148614175,0.5214551189663332,"[32-512, 256-32]",1650121
0.6327298050139276,0.7054779856755587,0.6327298050139276,0.6671265126742796,0.9395274868386341,[64-512],3914249
0.8246518105849582,0.8352243133959165,0.8246518105849582,0.8299043914610308,0.9767137890282509,"[64-512, 256-512, 32-64, max, 128-32]",3296489
0.2835654596100279,0.49961305824399005,0.2835654596100279,0.36178981741308713,0.7295692683560804,[128-128],1055881
0.4211699164345404,0.45250353232258894,0.4211699164345404,0.43627484654765625,0.8183365662898332,"[32-256, mean, 512-128, mean, mean]",1893001
0.5874651810584958,0.6610317854780106,0.5874651810584958,0.6220810589849444,0.9069398830122359,[64-128],980105
0.2976323119777159,0.3953105593570867,0.2976323119777159,0.33958700088511773,0.7323910780584415,[mean],5301
0.5356545961002785,0.7132303828300511,0.5356545961002785,0.6118179641627204,0.8579921848934289,"[128-64, 64-128, mean, 64-512]",1539017
0.6057103064066852,0.7088737595691726,0.6057103064066852,0.6532440993700404,0.9205598805778199,"[256-128, mean]",530057
0.7458217270194986,0.7861396947764457,0.7458217270194986,0.7654501692991685,0.9618426845791855,"[128-32, 32-128, 32-64, mean, max]",184617
